,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
441,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
445,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
452,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
4A0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1036,...,488,685,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,...,...,...,...,...,2213,7105,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9318
481,...,...,8,35,285,762,344,214,335,274,751,523,49,48,343,311,210,271,962,39,20,211,382,336,494,508,7287,196,48,86,411,272,30,301,1668,45,3,1024,63,692,583,2167,2678,5004,5073,551,361,610,10208,1263,1621,2574,6935,489,9459,676,840,3990,461,560,645,221,415,315,1490,1455,4522,1399,209,4728,87,91429,155634,...,...,...,...,...,46230,...,...,...,...,...,...,...,...,...,...,...,...,293293
482,...,...,...,...,...,116,1,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,2,...,...,...,73,8,10,...,41,...,79,...,4038,...,3,279,28,...,...,213,1,15,9,174,...,...,...,14,40,15,363,1,139,...,...,10,22,...,...,...,...,...,...,17,108,28,389,407,...,6643,1544,...,...,...,...,...,1374,...,...,...,...,...,...,...,...,...,...,...,...,9561
483,...,...,...,...,...,0,0,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,0,...,...,...,...,...,...,...,...,4,...,...,...,...,0,...,...,...,...,...,...,...,0,...,...,1135,94,0,0,329,0,67,...,0,0,...,...,...,0,1747,55,533,248,...,4212,25412,...,...,...,...,...,4429,...,...,...,...,...,...,...,...,...,...,...,...,34053
484,160,...,...,...,122,...,...,165,59,154,549,163,154,28,149,57,86,143,108,45,14,155,86,625,136,232,3298,1487,799,918,3498,926,137,82,5145,93,7,2350,79,120,81,6,295,...,...,21,2,...,...,113,77,36,1313,4,269,43,23,138,196,27,63,22,4,14,113,163,1375,11,259,311,20,27329,12870,...,...,...,...,...,1575,...,...,...,...,...,...,...,...,...,...,...,...,41773
485,...,2,5,12,110,1868,808,87,142,121,316,229,21,21,155,127,86,141,400,14,8,90,154,142,218,206,1070,101,8,26,188,3,489,...,...,...,1,136,10,296,219,2273,1432,2830,2202,1713,146,839,4906,696,1039,1365,7737,240,5452,265,478,2587,2041,872,234,2175,139,159,821,632,16,2,20,21704,1187,74233,50637,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,124870
486,...,...,447,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,447,...,...,...,...,...,...,311,...,...,...,...,...,...,...,...,...,...,...,...,758
487OS,...,188,43,1529,6,7413,...,891,1014,143,146,20,...,3,9,...,280,187,665,62,...,463,448,1626,218,574,47690,2482,848,579,13949,21114,1992,4558,46544,1019,444,31590,1395,1869,1311,385,4551,622,3234,335,...,...,...,2159,914,490,13397,476,3334,1432,435,2020,3093,449,1033,672,869,126,505,2257,2,58,525,802,4545,242030,25899,...,...,...,...,...,10730,...,...,...,...,...,...,...,...,...,...,...,...,278659
493,311,...,10,356,...,380,...,3681,1881,144,1772,674,2056,76,226,177,139,564,4036,1379,342,3321,1991,3919,3669,5517,22296,9068,7228,9160,25179,15,2,785,10362,211,14,875,10933,539,295,627,937,...,...,59,...,1,60,391,198,108,950,5,2025,90,146,654,886,145,224,175,113,704,1274,798,113,123,...,3884,108,148384,107,...,...,...,...,...,169,...,...,...,...,...,...,...,...,...,...,...,...,148659
