101,102,103,201,301,401,501,601,701,801,802,901,1001,1101,1102,1103,1104,1105,1106,1107,1108,1109,1201,1202,1205,1301,1302,1303,1304,1305,1306,1401,1402,1501,1502,1601,1701,1801,1802,1803,1804,1901,1902,2001,2002,2003,2004,2005,2101,2102,2201,2202,2203,2204,2301,2302,2303,2304,2401,2403,2404,2405,2501,2502,2601,2605,2701,2801,2901,3001,3002,3101,3201,3301,3901,4401,4501,4601,4701,4801,4901,5101,5201,5401,5501,5601,5701,5801,6001,6201,6301,6401,6601,6701,6702,6901,7001,7210,7310,7501,7601,7701,8010,8110,8210,8401,8601,8901,9101,9201,9401,9402,9501,9502
0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.64,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.11,283.79,2.97,0,0,0.27,7.22,527.83,24.19,180.65,783.07,32932.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,0.18,0.66,0,0,0,0,21.71,21.11,11.84,51.66,6.8,0,0,0,0,0,0.01,0,0,0.01,58.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,34.87,0.02,0.52,0,277.41,106.36,626.79,51.33,185.92,114.02,1.67,35.56,3.88,3.48,18.42,0.12,0.14,0.25,0.2,0.14,2.47,0.29,3.6,0.13,36.87,0,0,0,22.1,0,122.85,122.99,172.62,1731.53,0,16.09,0.95,1.92,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,1.11,2.36,3.22,3.19,0,0.73,0.28,0,0,0,1.76,1.67,0,3.35,3.8,0,8.06,11.48,0,0,5.54,0.41
0,0,0,0,0,0,0,5954.96,842.05,2712.56,4813.5,699.44,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.1,31.56,0.96,0,0,0,0,0,2.47,0,0,0,0,694.09,1.44,0.41,70.56,35.64,22.27,686.83,29.29,858.68,5.18,0.61,1.04,0,329,1.19,0,0.04,0.13,0,0,0,0,0,0,3.29,2.28,86.64,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.96,0.11,0.7,0,6.73,0,0,0,0.86,13.94,1.5,7.4,9.71,54.43,800.76,404.5,384.87,6479.81,0,0.8,0,0,0.96,0,0,0,0,0,0,0,0,0,0,2.37,0,2.59,63.68,0,18.61,8.56,0,3.97,28,32.18,45.39,2.5,325.27,247.69,1.56,1.58,11.41,18.32,0.34,6.95,11.92
0,0,0,17.21,0.04,6.22,4.63,0.7,0.63,0.53,7.4,0,2.29,4.43,1.83,0.39,3.31,0,1.25,25.17,1.81,97.78,0.31,1.82,0.05,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,16.36,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,2.31,0.77,0,143.1,84.93,50.64,224.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,10.07,0,2.69,1.1,11.39,10.43,12.6,13.97,26.73,2.25,61.02,86.69,0,1.47,21.68,0,0,0,0
57.85,19.28,0.44,0,0,0,0,0,0.87,4.44,13.14,0,0,14.74,0.02,2258.37,2.29,93.22,7.65,147.06,123.04,368.55,9.9,0.05,12.05,0.06,0.04,0.09,0.29,0.05,0.09,0,0,0,0,0,0,27.97,0.02,3.06,26.18,0,0,0.16,0.06,0.13,0.08,0.18,0,0,0,0,0,0,1.56,1.33,1.86,2.25,1.59,0.74,0.26,0.16,0.93,8.99,0.27,0.56,0,8.31,47.35,10.99,10.43,11.56,23.15,95.64,286.29,127.05,576,3.23,1.83,0,0,14.05,0,0,0.88,0,0,0,0,0,0,0,4.85,0,10.99,89.25,0,44.07,17.86,0,5.55,54.68,57.68,84.74,12.53,472.85,526.73,3.76,1,22.88,18.31,4.97,31.93,32.14
0.54,0.35,0.49,0,0,0,0,0,0,0,0,0,0,21.27,0.41,3.5,133.11,1.1,26.18,165.05,7.53,20.49,9.42,0.18,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.07,0.18,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0.25,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,30.9,31.77,287.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,17.48,12.88,18.71,2.01,98.83,185.17,0,1.32,6.98,0,0,0,5.91
0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6.13,25.19,36.05,383.8,21.25,167.1,22.54,162.06,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.48,0,13.2,5.27,21.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.9,74.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,11.89,0.94,3.05,5.1,0,0,0,0,0,0,0
8.71,10.13,9.78,0.63,1.02,0.29,0.29,0,0,0,0.46,0,0,27.39,0.13,21.59,75.41,0.72,123.04,850.3,140.07,152.17,40.9,112.13,0.05,0,0.02,0.18,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0.1,0.27,0.09,0,0,0.04,0.15,0.03,0.1,0,0,0,0,0.21,0.16,0.41,0.15,0,0,0,0,0,0,0,0,0,0,1.8,10.81,173.31,107.5,328.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,9.93,21.65,18.29,30.15,4.11,113.19,188,0,2.56,16.72,0.26,0.48,0,0
